Datum,Vykonnost_fondu
16-07-2024,87.3500
17-07-2024,86.5200
18-07-2024,85.4800
19-07-2024,84.6900
20-07-2024,84.5600
21-07-2024,84.5600
22-07-2024,84.9500
23-07-2024,86.2500
24-07-2024,85.4100
25-07-2024,85.6200
26-07-2024,86.3200
27-07-2024,86.2800
28-07-2024,86.2800
29-07-2024,86.5600
30-07-2024,87.0900
31-07-2024,87.7600
01-08-2024,85.3100
02-08-2024,82.5100
03-08-2024,82.4700
04-08-2024,82.4700
05-08-2024,79.7100
06-08-2024,81.4500
07-08-2024,80.6000
08-08-2024,82.0700
09-08-2024,82.0500
10-08-2024,82.0300
11-08-2024,82.0300
12-08-2024,81.4500
13-08-2024,81.8400
14-08-2024,81.9000
15-08-2024,83.9500
16-08-2024,83.5200
17-08-2024,83.3900
18-08-2024,83.3900
19-08-2024,83.6700
20-08-2024,82.8400
21-08-2024,83.3500
22-08-2024,83.4800
23-08-2024,84.3600
24-08-2024,84.5600
25-08-2024,84.5600
26-08-2024,84.7600
27-08-2024,84.0800
28-08-2024,84.1100
29-08-2024,84.7500
30-08-2024,85.4700
31-08-2024,85.4700
01-09-2024,85.4700
02-09-2024,85.0800
03-09-2024,83.5300
04-09-2024,82.8000
05-09-2024,82.1800
06-09-2024,81.0100
07-09-2024,81.0100
08-09-2024,81.0100
09-09-2024,81.7400
10-09-2024,81.6500
11-09-2024,81.8700
12-09-2024,82.3800
13-09-2024,83.7300
14-09-2024,83.7300
15-09-2024,83.7300
16-09-2024,83.9800
17-09-2024,84.3000
18-09-2024,84.4300
19-09-2024,85.5700
20-09-2024,85.1300
21-09-2024,85.0600
22-09-2024,85.0600
23-09-2024,85.8500
24-09-2024,85.4900
25-09-2024,84.8300
26-09-2024,85.2300
27-09-2024,85.7400
28-09-2024,85.7400
29-09-2024,85.7400
30-09-2024,85.4500
01-10-2024,85.6400
02-10-2024,85.6900
03-10-2024,85.4900
04-10-2024,86.7800
05-10-2024,86.8300
06-10-2024,86.8300
07-10-2024,86.1300
08-10-2024,86.4400
09-10-2024,87.2100
10-10-2024,86.9100
11-10-2024,88.4100
12-10-2024,88.4100
13-10-2024,88.4100
14-10-2024,89.0300
15-10-2024,89.3900
16-10-2024,90.0900
17-10-2024,90.3300
18-10-2024,90.1200
19-10-2024,90.1700
20-10-2024,90.1700
21-10-2024,89.5400
22-10-2024,89.1500
23-10-2024,88.5900
24-10-2024,88.4700
25-10-2024,88.0800
26-10-2024,88.0300
27-10-2024,88.0300
28-10-2024,88.8600
29-10-2024,88.9600
30-10-2024,88.3600
31-10-2024,86.9400
01-11-2024,87.7200
02-11-2024,87.7200
03-11-2024,87.7200
04-11-2024,87.7200
05-11-2024,88.1000
06-11-2024,93.6400
07-11-2024,93.2300
08-11-2024,94.1500
09-11-2024,94.1500
10-11-2024,94.1500
11-11-2024,95.6400
12-11-2024,95.0400
13-11-2024,95.1200
14-11-2024,94.4900
15-11-2024,93.2600
16-11-2024,93.3900
17-11-2024,93.3900
18-11-2024,92.9800
19-11-2024,92.9900
20-11-2024,93.8100
21-11-2024,96.1400
22-11-2024,98.3100
23-11-2024,98.3100
24-11-2024,98.3100
25-11-2024,99.1100
26-11-2024,98.7100
27-11-2024,97.6100
28-11-2024,98.1000
29-11-2024,97.3900
30-11-2024,97.4000
01-12-2024,97.4000
02-12-2024,98.0000
03-12-2024,97.6000
04-12-2024,97.8500
05-12-2024,96.6400
06-12-2024,96.5600
07-12-2024,96.6100
08-12-2024,96.6100
09-12-2024,96.5400
10-12-2024,95.8500
11-12-2024,96.7700
12-12-2024,96.5100
13-12-2024,95.7000
14-12-2024,95.7000
15-12-2024,95.7000
16-12-2024,95.6500
17-12-2024,94.4400
18-12-2024,92.2400
19-12-2024,91.9400
20-12-2024,91.8800
21-12-2024,91.8800
22-12-2024,91.8800
23-12-2024,91.9300
24-12-2024,92.0900
25-12-2024,92.0900
26-12-2024,92.0900
27-12-2024,92.2000
28-12-2024,92.2600
29-12-2024,92.2600
30-12-2024,91.5000
31-12-2024,91.5000
01-01-2025,91.5000
02-01-2025,93.0300
03-01-2025,93.7800
04-01-2025,93.7300
05-01-2025,93.7300
06-01-2025,93.2400
07-01-2025,92.6900
08-01-2025,93.2100
09-01-2025,93.0700
10-01-2025,92.7100
11-01-2025,92.7200
12-01-2025,92.7200
13-01-2025,93.8600
14-01-2025,93.8700
15-01-2025,95.5100
16-01-2025,95.9900
17-01-2025,96.8000
18-01-2025,96.8000
19-01-2025,96.8000
20-01-2025,95.9200
21-01-2025,96.8400
22-01-2025,96.6000
23-01-2025,96.4200
24-01-2025,95.7900
25-01-2025,95.7900
26-01-2025,95.7900
27-01-2025,94.6100
28-01-2025,95.5100
29-01-2025,95.2700
30-01-2025,96.5500
